183;42;17;262;367
159;481;7;199;230
120;63;196;409;349
83;22;432;427;497
441;331;315;163;362
227;220;493;45;286
484;404;140;34;495
373;317;177;466;398
438;152;441;314;469
137;45;442;206;343
478;348;367;173;79
402;488;154;110;265
153;170;389;37;259
342;203;258;370;309
47;203;59;73;226
363;185;300;456;216
205;391;354;457;287
284;500;268;328;437
439;182;204;158;130
87;250;73;96;166
181;393;295;383;402
60;490;232;68;144
160;424;254;124;178
246;391;265;394;460
195;203;385;120;155
258;165;321;385;11
186;319;94;370;432
261;134;222;404;65
248;188;495;220;96
141;177;67;179;277
291;66;336;10;98
394;362;426;52;117
101;218;124;444;39
193;486;90;350;495
469;460;316;140;265
390;474;311;469;383
328;332;472;130;223
427;85;302;187;499
187;214;315;332;306
259;180;470;292;48
444;274;420;56;232
118;363;343;450;356
484;478;158;243;426
337;350;453;398;255
287;165;178;108;110
401;319;404;281;277
245;395;113;206;453
293;107;486;172;453
